Date,State,Confirmed Cases,Predicted Cases
7/5/2020,NJ,369,312 
7/6/2020,NJ,209,312 
7/7/2020,NJ,267,313 
7/8/2020,NJ,252,316 
7/9/2020,NJ,231,315 
7/10/2020,NJ,358,313 
7/11/2020,NJ,331,317 
7/12/2020,NJ,339,320 
7/13/2020,NJ,224,321 
7/14/2020,NJ,393,322 
7/15/2020,NJ,390,322 
7/16/2020,NJ,223,319 
7/17/2020,NJ,50,315 
7/18/2020,NJ,263,313 
7/19/2020,NJ,31,308 
7/20/2020,NJ,180,301 
7/21/2020,NJ,293,297 
7/22/2020,NJ,335,297 
7/23/2020,NJ,242,297 
7/24/2020,NJ,458,296 
7/25/2020,NJ,513,296 
7/26/2020,NJ,505,293 
7/27/2020,NJ,449,289 
7/28/2020,NJ,483,288 
7/29/2020,NJ,260,288 
7/30/2020,NJ,370,292 
7/31/2020,NJ,690,294 
8/1/2020,NJ,369,295 
8/2/2020,NJ,321,295 
8/3/2020,NJ,264,291 
8/4/2020,NJ,356,289 
8/5/2020,NJ,335,289 
8/6/2020,NJ,374,292 
8/7/2020,NJ,360,293 
8/8/2020,NJ,368,295 
8/9/2020,NJ,344,294 
8/10/2020,NJ,258,296 
8/11/2020,NJ,444,299 
8/12/2020,NJ,449,304 
8/13/2020,NJ,656,309 
8/14/2020,NJ,570,316 
8/15/2020,NJ,278,320 
8/16/2020,NJ,13,317 
8/17/2020,NJ,312,308 
8/18/2020,NJ,331,303 
8/19/2020,NJ,319,294 
8/20/2020,NJ,100,288 
8/21/2020,NJ,290,287 
8/22/2020,NJ,529,288 
8/23/2020,NJ,148,289 
8/24/2020,NJ,225,292 
8/25/2020,NJ,302,301 
8/26/2020,NJ,236,312 
8/27/2020,NJ,307,320 
8/28/2020,NJ,358,329 
8/29/2020,NJ,349,341 
8/30/2020,NJ,291,353 
8/31/2020,NJ,349,366 
9/1/2020,NJ,330,372 
9/2/2020,NJ,308,378 
9/3/2020,NJ,378,382 
9/4/2020,NJ,449,389 
9/5/2020,NJ,325,400 
9/6/2020,NJ,311,411 
9/7/2020,NJ,332,411 
9/8/2020,NJ,277,408 
9/9/2020,NJ,329,412 
9/10/2020,NJ,424,420 
9/11/2020,NJ,474,425 
9/12/2020,NJ,449,430 
9/13/2020,NJ,297,424 
9/14/2020,NJ,334,418 
9/15/2020,NJ,436,414 
9/16/2020,NJ,390,416 
9/17/2020,NJ,569,419 
9/18/2020,NJ,487,425 
9/19/2020,NJ,461,426 
9/20/2020,NJ,453,431 
9/21/2020,NJ,392,428 
9/22/2020,NJ,426,426 
9/23/2020,NJ,408,429 
9/24/2020,NJ,564,437 
9/25/2020,NJ,548,445 
9/26/2020,NJ,750,459 
9/27/2020,NJ,698,474 
9/28/2020,NJ,559,498 
9/29/2020,NJ,456,516 
9/30/2020,NJ,708,534 
10/1/2020,NJ,614,556 
10/2/2020,NJ,740,580 
10/3/2020,NJ,947,602 
10/4/2020,NJ,626,621 
10/5/2020,NJ,511,630 
10/6/2020,NJ,629,641 
10/7/2020,NJ,509,665 
10/8/2020,NJ,1298,704 
10/9/2020,NJ,865,750 
10/10/2020,NJ,864,798 
10/11/2020,NJ,751,856 
10/12/2020,NJ,469,896 
10/13/2020,NJ,988,950 
10/14/2020,NJ,939,1028 
10/15/2020,NJ,971,1146 
10/16/2020,NJ,810,1270 
10/17/2020,NJ,934,1388 
10/18/2020,NJ,1275,1517 
10/19/2020,NJ,1192,1601 
10/20/2020,NJ,988,1696 
10/21/2020,NJ,1030,1833 
10/22/2020,NJ,1162,2017 
10/23/2020,NJ,1045,2201 
10/24/2020,NJ,1909,2416 
10/25/2020,NJ,1129,2652 
10/26/2020,NJ,1216,2813 
10/27/2020,NJ,1647,2965 
10/28/2020,NJ,1670,3168 
10/29/2020,NJ,0,3420 
10/30/2020,NJ,0,3675 
10/31/2020,NJ,0,3965 
1/21/2020,UT,0,2 
1/22/2020,UT,0,2 
1/23/2020,UT,0,2 
1/24/2020,UT,0,2 
1/25/2020,UT,0,2 
1/26/2020,UT,0,2 
1/27/2020,UT,0,2 
1/28/2020,UT,0,2 
1/29/2020,UT,0,2 
1/30/2020,UT,0,2 
1/31/2020,UT,0,2 
2/1/2020,UT,0,2 
2/2/2020,UT,0,2 
2/3/2020,UT,0,2 
2/4/2020,UT,0,2 
